Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128 ,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Angelova-Atanassov,Anna,2/15/2020,U20WE,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Angelova-Atanassov,Anna,2/16/2020,JTMMF,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,,
Angelova-Atanassov,Anna,2/16/2020,U17WF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,Ref: 1,,,,
Angelova-Atanassov,Anna,2/17/2020,U17MF,Ref: 2,,,Ref: 5,Ref: 1,,Ref: 1,,,,,,
Astudillo,Charles,10/18/2019,DV1ME,Ref: 1,,,,,,,,,,,,
Astudillo,Charles,10/18/2019,U17WF,Ref: 1,,,,Ref: 1,,Ref: 2,,Assist: 1,,,,
Astudillo,Charles,10/19/2019,U17ME,,,,,Ref: 2,,Ref: 1,,,,,,
Astudillo,Charles,10/19/2019,U17WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Video: 2,Video: 1,Ref: 1,,
Astudillo,Charles,10/20/2019,DV2MF,Ref: 1,,,Ref: 1,Ref: 1,,,,,,,,Assist: 1
Astudillo,Charles,10/21/2019,U17MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Astudillo,Charles,11/8/2019,U17MF,Ref: 1,,,Ref: 2,Ref: 2,,,,Ref: 1,,,,
Astudillo,Charles,11/8/2019,U20WE,Ref: 1,,,Ref: 2,Ref: 2,,,,Video: 1,,,,
Astudillo,Charles,11/9/2019,U17ME,Ref: 1,,,,,,,,,,,,
Astudillo,Charles,11/9/2019,U20MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,Assist: 1,,,,
Astudillo,Charles,11/10/2019,U20WF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,Ref: 1,,,,,
Astudillo,Charles,11/10/2019,Y14MF,Ref: 1,,,,Ref: 2,,Ref: 1,,,Video: 1,,,
Astudillo,Charles,11/11/2019,U17WF,Ref: 1,,,Ref: 1,Ref: 3  Video: 1,,,,,Ref: 1,,,
Astudillo,Charles,12/6/2019,DV2WE,Ref: 1,,,,,,Ref: 1,Ref: 2,,Ref: 1,Video: 1,,
Astudillo,Charles,12/6/2019,V50ME,,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,Assist: 1,,,
Astudillo,Charles,12/7/2019,DV1WE,Ref: 1,Ref: 1,,,,,,,,Ref: 1,,,
Astudillo,Charles,12/8/2019,DV1ME,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,Assist: 1,,,,
Astudillo,Charles,12/9/2019,DV2ME,,,,,,,,,Ref: 1,Ref: 1,,,
Astudillo,Charles,12/9/2019,DV2MF,Ref: 1,,,,,,,,Ref: 1,Ref: 1,Video: 1,,Video: 1
Astudillo,Charles,1/3/2020,DV1ME,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Astudillo,Charles,1/3/2020,DV1WF,Ref: 1,,,,,,,,,,,,
Astudillo,Charles,1/4/2020,DV1MF,Ref: 2,,,Ref: 4,Ref: 2,,Ref: 2,,,,,,
Astudillo,Charles,1/4/2020,STMWF,,,,,,,,,Ref: 1,,,,
Astudillo,Charles,1/5/2020,U20MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,Ref: 1,Assist: 1,,,
Astudillo,Charles,1/5/2020,U20WE,,,,Ref: 1,Ref: 1,,,,,,,,
Astudillo,Charles,1/6/2020,DV1WS,,,,,,,,,Assist: 1,,,,
Astudillo,Charles,1/6/2020,U20WF,Ref: 1,,,,Ref: 3,,,Ref: 1,Video: 1,,,,
Astudillo,Charles,2/14/2020,U17ME,Ref: 1,,,Ref: 5,Ref: 1,,Ref: 1,,,,,,
Astudillo,Charles,2/14/2020,U20WF,Ref: 1,,,Ref: 2,Ref: 3,,,Ref: 1,Assist: 1,Video: 1,,,
Astudillo,Charles,2/15/2020,U20MF,Ref: 1,,,Ref: 4,,,Ref: 1,Ref: 1,,,,,
Astudillo,Charles,2/15/2020,U20WE,Ref: 1,,,,,,,,Video: 1,,Ref: 1,,
Astudillo,Charles,2/16/2020,JTMMF,,,,,,,Ref: 1,Ref: 2,Ref: 1,,,,
Astudillo,Charles,2/16/2020,U17WF,Ref: 1,,,Ref: 1,,,,,,,,,
Astudillo,Charles,2/17/2020,U17MF,Ref: 2,,,,,,,,Video: 2,,,,
Ayala,Jaime,10/18/2019,DV1ME,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Ayala,Jaime,10/18/2019,U17WF,Ref: 1,,,,,,,,,,,,
Ayala,Jaime,10/19/2019,U17ME,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Ayala,Jaime,10/20/2019,DV1WE,Ref: 1,,,,,,,,,,,,
Ayala,Jaime,10/21/2019,DV2ME,Ref: 1,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,
Ayala,Jaime,11/8/2019,U20WE,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,Ref: 1,,,,,
Ayala,Jaime,11/9/2019,U17ME,Ref: 1,,,Ref: 3,,,Ref: 2,Ref: 1,Ref: 1,,Assist: 1,,
Ayala,Jaime,11/10/2019,U17WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Ayala,Jaime,11/10/2019,Y14ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,Assist: 1,,,
Ayala,Jaime,11/11/2019,U20ME,,,,Ref: 2,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Assist: 1,,,
Ayala,Jaime,11/11/2019,Y14WE,Ref: 1,,,,Ref: 3,,Ref: 1,,,Assist: 1,Ref: 1,,
Badawi,Amgad,12/6/2019,DV1MF,Ref: 1,,,,,,,Ref: 1,Video: 1,,,,
Badawi,Amgad,12/6/2019,V50WF,Ref: 1,,,,,,,,,,,,
Badawi,Amgad,12/7/2019,DV1WF,Ref: 1,,,,,,,,Ref: 1,,,,
Badawi,Amgad,12/7/2019,V50MF,Ref: 1,,,,,,,Ref: 2,Ref: 1,Ref: 1,,,
Badawi,Amgad,12/8/2019,DV1ME,Ref: 1,Ref: 1,,,Ref: 3,,,,Video: 1,,Video: 1,,Video: 1
Badawi,Amgad,12/9/2019,DV2MF,Ref: 1,,,,,,,,,,Video: 1,,
Badawi,Amgad,2/14/2020,U17ME,Ref: 1,,,Ref: 3,Ref: 2,,,,,,,,
Badawi,Amgad,2/14/2020,U20WF,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,,,,,,
Badawi,Amgad,2/15/2020,U20MF,Ref: 1,,,Ref: 4,Ref: 2,,Ref: 1,,,,,,
