Last Name,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Jeffery,Jakob,12/12/2022,U20WE,Ref: 1, , ,Ref: 1, , , , , , ,, 
Jeffery,Jakob,12/12/2022,U20WF,Ref: 2, ,Ref: 1,Ref: 2, ,Ref: 1,Ref: 1, , , ,, 
Jeffery,Jakob,1/6/2023,DV1MF,Ref: 1, ,Ref: 2,Ref: 2,Ref: 1,Ref: 2, ,Ref: 1, , , , 
Jeffery,Jakob,1/7/2023,U20MF,Ref: 1, ,Ref: 2,Ref: 3, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , , 
Jeffery,Jakob,1/8/2023,V60WF,Ref: 1, , , , , ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , 
Jeffery,Jakob,1/8/2023,V70MF, , , , , , , , ,Ref: 1  Video: 1,Video: 1, , 
Jeffery,Jakob,1/8/2023,V80WF,Ref: 1, , , , , , , , ,Ref: 1  Video: 1, ,Video: 1
Jeffery,Jakob,1/9/2023,U20ME,Ref: 2, ,Ref: 3,Ref: 3, , , , , , , , 
Jeffery,Jakob,4/21/2023,V60MF,Ref: 1,, , , , ,Ref: 3, ,Ref: 1,Ref: 1, , 
Jeffery,Jakob,4/22/2023,DV1MF,Ref: 1,, ,Ref: 2, ,Ref: 1, ,Ref: 1, , , , 
Jeffery,Jakob,4/22/2023,U19WF,Ref: 1,, ,Ref: 2, ,Ref: 1,Ref: 1,Ref: 1, , , , 
Jeffery,Jakob,4/23/2023,DV1WF,Ref: 1,, , , ,Ref: 2, ,Ref: 1,Video: 1, , , 
Jeffery,Jakob,4/23/2023,STMWE, ,, , , , , ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, 
Jeffery,Jakob,4/24/2023,V40WS,Ref: 1,, , , , , ,Ref: 1,Ref: 1  Video: 1,Ref: 1, ,Ref: 1
Jeffery,Jakob,4/24/2023,V50ME,Ref: 1,, , , ,Ref: 2, , ,Ref: 1, , , 
Jennings,Patrick,7/1/2023,DV1MS,Ref: 2, , ,Ref: 2,,Ref: 1, ,Video: 1, , , , 
Jennings,Patrick,7/1/2023,U19WS,Ref: 2, ,Ref: 4,Ref: 3,,Ref: 2,Ref: 1,Video: 1, , , , 
Jennings,Patrick,7/2/2023,U16MS,Ref: 2, ,Ref: 2,Ref: 2,,Ref: 2,Ref: 1, , , , , 
Jennings,Patrick,7/3/2023,DV1WS,Ref: 2, , ,Ref: 1,,Ref: 2,Ref: 2,Video: 1,Video: 1, , , 
Jennings,Patrick,7/4/2023,U16WS,Ref: 2, , ,Ref: 3,,Ref: 2, ,Video: 1,Video: 1, , , 
Jennings,Patrick,7/4/2023,V50MS, , , , ,, , , ,Video: 1, , , 
Jennings,Patrick,7/4/2023,V60MS,Ref: 1, , , ,,Ref: 1,Ref: 2,Ref: 1,Video: 1,Ref: 1, , 
Jennings,Patrick,7/5/2023,D1AWS,Ref: 1, , , ,,Ref: 3,Ref: 2, , , , ,Ref: 1
Jennings,Patrick,7/5/2023,V50WS,Ref: 1, , , ,, ,Ref: 2  Video: 1,Ref: 2,Ref: 1,Video: 1, , 
Jennings,Patrick,7/5/2023,V70WS,Ref: 1, , , ,, , , , , , , 
Jeon,Nathan,10/7/2022,DV1MF,Ref: 1, ,Ref: 1,Ref: 2,Ref: 1,Ref: 2, ,Video: 1,Ref: 1, , , 
Jeon,Nathan,10/8/2022,U17WF,Ref: 1, , ,Ref: 3, ,Ref: 1,Ref: 1,Ref: 1, ,Video: 1, , 
Jeon,Nathan,10/9/2022,DV1WF,Ref: 1, , ,Ref: 1, ,Ref: 1,Ref: 1,Ref: 1, , , , 
Jeon,Nathan,10/9/2022,U17MF,Ref: 1, ,Ref: 2,Ref: 1, ,Ref: 1,Ref: 1,Ref: 1, ,Video: 1, , 
Jeon,Nathan,10/10/2022,Y14MF,Ref: 1, , ,Ref: 2, ,Ref: 2,Ref: 1, ,Video: 1, , , 
Jeon,Nathan,12/9/2022,DV1WF,Ref: 1, , ,Ref: 1, ,Ref: 2,Ref: 1,Ref: 1,Video: 1,Ref: 1,,Video: 1
Jeon,Nathan,12/10/2022,U20MF,Ref: 2, ,Ref: 2,Ref: 2, , ,Ref: 1, , ,Ref: 1,, 
Jeon,Nathan,12/11/2022,DV1MF,Ref: 1, ,Ref: 1,Ref: 1, ,Ref: 2,Ref: 1,Ref: 1,Video: 1, ,, 
Jeon,Nathan,12/12/2022,U20WF,Ref: 2, ,Ref: 1,Ref: 3, ,Ref: 1,Ref: 1,Ref: 1, , ,, 
Jeon,Nathan,1/6/2023,DV1MF,Ref: 1, ,Ref: 2,Ref: 2, , , , , , , , 
Jeon,Nathan,1/6/2023,U20WF,Ref: 1, , ,Ref: 2, ,Ref: 2,Ref: 1,Video: 1, ,Ref: 1, , 
Jeon,Nathan,1/7/2023,DV1WF,Ref: 1, , ,Ref: 3, ,Ref: 1,Ref: 2,Ref: 1,Video: 1,Ref: 1, , 
Jeon,Nathan,1/7/2023,U20MF,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 1, , , , , , 
Jeon,Nathan,1/8/2023,DV1WS,Ref: 2, , ,Ref: 2, ,Ref: 1,Ref: 1, , , , , 
Jeon,Nathan,1/8/2023,VETMS,Ref: 1, , , , ,Ref: 2,Ref: 2,Ref: 1,Ref: 1, , , 
Jeon,Nathan,1/9/2023,VETMF,Ref: 1, , , , ,Ref: 2,Ref: 3,Ref: 1,Ref: 1,Video: 1, , 
Jeon,Nathan,1/9/2023,VETWF,Ref: 1, , , , , , , ,Video: 1,Video: 1, , 
Jeon,Nathan,2/17/2023,U17MS,Ref: 2, ,Ref: 2,Ref: 4, ,Ref: 2, , ,Video: 1, , , 
Jeon,Nathan,2/18/2023,U20ME, , ,Ref: 2,Ref: 2, , , , , , , , 
Jeon,Nathan,2/18/2023,U20WF,Ref: 1, ,Ref: 2,Ref: 2, ,Ref: 1,Ref: 1,Video: 1,Ref: 1, , , 
Jeon,Nathan,2/19/2023,JTMMS, , , , , , ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , 
Jeon,Nathan,2/19/2023,U20WS,Ref: 1, ,Ref: 3,Ref: 1, ,Ref: 1,Ref: 1, , , , , 
Jeon,Nathan,2/20/2023,U17WF,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 1,Ref: 1,Ref: 1, , , , 
Jeon,Nathan,3/3/2023,U16WF,Ref: 1,,Ref: 2,Ref: 2, ,Ref: 1,Ref: 1,Video: 2,Ref: 1,Video: 1, , 
Jeon,Nathan,3/4/2023,Y12MF, ,, , , ,Ref: 1, , , , , , 
Jeon,Nathan,3/4/2023,Y14WF,Ref: 1,, ,Ref: 1, ,Ref: 1,Ref: 1, ,Video: 1,Ref: 1, ,Video: 1
Jeon,Nathan,3/5/2023,Y12WF,Ref: 1,,Ref: 2,Ref: 3, ,Ref: 1,Ref: 2, ,Video: 1, , , 
Jeon,Nathan,3/5/2023,Y14MF,Ref: 1,,Ref: 4,Ref: 2, ,Ref: 1, ,Ref: 1,Video: 1, , , 
Jeon,Nathan,3/6/2023,U16MF,Ref: 2,,Ref: 3,Ref: 2, ,Ref: 1, ,Video: 1,Ref: 1, , ,Ref: 1
Jeon,Nathan,4/21/2023,DV1MS,Ref: 2,, ,Ref: 2, , , , , , , , 
Jeon,Nathan,4/21/2023,U19WS,Ref: 1,, ,Ref: 1, ,Ref: 1,Ref: 1,Video: 1,Ref: 1, , , 
Jeon,Nathan,4/22/2023,DV1MF,Ref: 1,, ,Ref: 2, ,Ref: 1,Ref: 2,Video: 1, , , , 
Jeon,Nathan,4/22/2023,U19WF,Ref: 1,, ,Ref: 1, ,Ref: 2,Ref: 1,Video: 1, ,Ref: 1, , 
Jeon,Nathan,4/23/2023,DV1WF,Ref: 1,, , , ,Ref: 1,Ref: 1,Video: 1, , , , 
Jeon,Nathan,4/23/2023,STMMF, ,, , , , , , ,Ref: 1,Ref: 1, ,Ref: 1
Jeon,Nathan,4/24/2023,U19MF,Ref: 1,, ,Ref: 3, ,Ref: 2,Ref: 1,Ref: 1, ,Ref: 1, , 
Jeon,Nathan,6/2/2023,DV2MF,Ref: 1,, ,Ref: 3, ,Ref: 2,Ref: 1,Ref: 2, ,Ref: 1, ,Ref: 1
Jeon,Nathan,6/2/2023,U19WF,Ref: 1,, ,Ref: 3, ,Ref: 1,Ref: 1, ,Ref: 1,Ref: 1, , 
Jeon,Nathan,6/3/2023,U16MF,Ref: 1,,Ref: 1,Ref: 3, ,Ref: 2,Ref: 1, , , , ,Video: 1
Jeon,Nathan,6/3/2023,U16WF,Ref: 1,, ,Ref: 2, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , , 
Jeon,Nathan,6/4/2023,U19MF,Ref: 2,,Ref: 4,Ref: 5, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , , 
Jeon,Nathan,6/30/2023,U19MS,Ref: 2, ,Ref: 5, ,,Ref: 1, ,Ref: 1, , , , 
