Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abdelaziz,Hisham,7/2/2017,D1AWF,Ref: 1,,,,Ref: 1,,Ref: 1,,,Video: 1,,,
Abdelaziz,Hisham,7/2/2017,DV1MF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,
Abdelaziz,Hisham,7/3/2017,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,
Abdelaziz,Hisham,7/3/2017,V60MF,Ref: 1,,,,,,,Ref: 2,Ref: 1,Video: 1  Assist: 1,,,Video: 1
Abdelaziz,Hisham,7/4/2017,U16WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Assist: 1,Ref: 1,,
Abdelaziz,Hisham,7/4/2017,U19MF,Ref: 1,,,,,,Ref: 2,Ref: 1,Ref: 1  Video: 1,Assist: 1,,,
Abdelaziz,Hisham,7/5/2017,DV2MF,Ref: 1,,,,,,,,Ref: 1,,Assist: 1,,
Abdelaziz,Hisham,7/5/2017,V40WF,,,,,,,,,,Ref: 1,Video: 1,,
Abdelaziz,Hisham,7/6/2017,U16MF,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Assist: 1,,Ref: 1,,Assist: 1
Abdelaziz,Hisham,7/7/2017,DV2WF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,Video: 1,,Video: 1
Abdelaziz,Hisham,7/8/2017,DV3WF,,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,,,
Abdelaziz,Hisham,7/8/2017,Y14MF,Ref: 1,,,Ref: 4,Ref: 1,,Ref: 1,Ref: 1,,Assist: 1,,,
Abdelaziz,Hisham,7/9/2017,Y12WF,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Abdelaziz,Hisham,7/10/2017,Y10WF,Ref: 1,,,,,,Ref: 2,Ref: 1,,,Video: 1,,
Abdelaziz,Hisham,7/10/2017,Y12MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,,,,,,
Abdelaziz,Nadine,10/7/2016,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,Assist: 1,Assist: 1,Assist: 1,,
Abdelaziz,Nadine,10/8/2016,DV1MF,Ref: 1,,,Ref: 1,Ref: 4,,Ref: 1,Ref: 2,Assist: 1,,,,
Abdelaziz,Nadine,10/9/2016,DV1ME,Ref: 1,,,Ref: 1,Ref: 1,,,,Assist: 1,,,,
Abdelaziz,Nadine,10/10/2016,U17MF,Ref: 1,,,,,,,Ref: 2,,,,,
Abdelaziz,Nadine,1/7/2017,DV1ME,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Abdelaziz,Nadine,1/8/2017,DV1MF,,,,Ref: 1,,,Ref: 1,,,,,,
Abdelaziz,Nadine,1/8/2017,DV1WE,Ref: 1,Ref: 1,,,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,
Abdelaziz,Nadine,1/9/2017,STMWE,,,,,,,,,,Ref: 1,,Ref: 1,
Abdelaziz,Nadine,1/9/2017,U20ME,Ref: 1,,,,,,,,,,,,
Abdelaziz,Nadine,1/6/2017,U20MF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Abdelaziz,Nadine,1/6/2017,U20WE,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Nadine,7/1/2017,D1AMF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,Ref: 1,Assist: 1,,
Abdelaziz,Nadine,7/1/2017,U19WF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Nadine,7/2/2017,D1AME,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Abdelaziz,Nadine,7/3/2017,STMMF,,,,,,,,Ref: 1,,,,,
Abdelaziz,Nadine,7/3/2017,V40MF,Ref: 1,,,,,,,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Video: 1,,
Abdelaziz,Nadine,7/4/2017,U16WF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 2,,,,,,
Abdelaziz,Nadine,7/4/2017,U19MF,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,,Ref: 1,Assist: 1,,,
Abdelaziz,Nadine,7/5/2017,DV2MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,Ref: 1,Assist: 1,,
Abdelaziz,Nadine,7/5/2017,V70ME,,,,,,,,Ref: 2,Ref: 1,Video: 2,Ref: 1,,
Abdelaziz,Nadine,7/6/2017,U16MF,Ref: 1,,,Ref: 1,Ref: 2,,,,Assist: 1,Ref: 1,Assist: 1,,
Abdelaziz,Nadine,7/7/2017,DV3WE,Ref: 1,,,,Ref: 1,,Ref: 2,,,,,,
Abdelaziz,Nadine,7/8/2017,DV3WF,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 2,Video: 1,,,
Abdelaziz,Nadine,7/8/2017,Y14MF,Ref: 1,,,Ref: 3,Ref: 3,,,,,,,,
Abdelaziz,Nadine,7/9/2017,Y12WF,Ref: 1,,,,Ref: 1,,,Ref: 1,,Ref: 1,,,
Abdelaziz,Nadine,7/10/2017,Y10WF,,,,,,,Ref: 3,,Ref: 1,Ref: 1,Assist: 1,,
Abdelaziz,Nadine,7/10/2017,Y12MF,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Acosta Pereira,Vilmarie,11/12/2016,U17MS,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 2,Ref: 1,,,,,
Acosta Pereira,Vilmarie,11/13/2016,U17WS,,,,,,,Ref: 2,,Ref: 1,,,,
Acosta Pereira,Vilmarie,11/14/2016,U20MS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 3,Ref: 1,Ref: 2,Ref: 1,,,
Acosta Pereira,Vilmarie,11/11/2016,U20WS,Ref: 2,,,,Ref: 3,,Ref: 2,,,,,,
