Last Name,First Name,Event,Date,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Alford,April,U20ME,1/12/2026,Ref: 2, , ,Ref: 3,Ref: 3,,Ref: 1, ,Ref: 1, , , , 
Alford,April,U17ME,1/23/2026,Ref: 1, , , ,Ref: 2,,Ref: 1,Ref: 2, ,Ref: 1, , , 
Alford,April,U17WE,1/23/2026,Ref: 1, , , ,Ref: 1,, ,Ref: 1, , , , , 
Alford,April,U17MF,1/24/2026,Ref: 1, , , ,Ref: 1,,Ref: 2,Ref: 1, , , , , 
Alford,April,U20WF,1/25/2026,Ref: 1, , , , ,,Ref: 3, , , , , , 
Alford,April,U20ME,2/12/2026,Ref: 1, , ,Ref: 1, ,,Ref: 2,Ref: 1, , , , , 
Alford,April,V50WE,2/12/2026,Ref: 1, , , , ,, ,Ref: 2,Ref: 1,Ref: 1, , , 
Alford,April,V40ME,2/13/2026,Ref: 1, , , , ,,Ref: 1,Ref: 2,Ref: 2,Ref: 1, , , 
Alford,April,V40WF,2/13/2026,Ref: 1, , , , ,, , ,Ref: 1,Ref: 1  Video: 1,Video: 1, , 
Alford,April,VTMME,2/14/2026, , , , , ,, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , 
Alford,April,VTMWE,2/14/2026, , , , , ,, , ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, 
Alford,April,DV1WE,2/15/2026,Ref: 2, , ,Ref: 1,Ref: 3,,Ref: 1, ,Ref: 1, , , , 
Alford,April,Y14MF,3/6/2026,Ref: 1, , , , ,,Ref: 1,Ref: 1, , , , , 
Alford,April,DV2MF,3/7/2026,Ref: 1, , , ,Ref: 3,,Ref: 1,Ref: 1, , , , , 
Alford,April,Y12WF,3/7/2026,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Alford,April,Y14ME,3/9/2026,Ref: 2, , ,Ref: 5,Ref: 2,,Ref: 1, ,Ref: 1,Ref: 1, , , 
Al-Nasser,Mahmoud,DV1WS,2/12/2026,Ref: 2, , , ,Ref: 2,,Ref: 3,Ref: 1,Ref: 1, , , , 
Al-Nasser,Mahmoud,V70WE,2/12/2026,Ref: 1, , , , ,, , , ,Ref: 1, , , 
Al-Nasser,Mahmoud,U20WS,2/13/2026,Ref: 2, , , ,Ref: 5,,Ref: 4,Ref: 2,Ref: 1, ,Ref: 1, , 
Al-Nasser,Mahmoud,VTMMS,2/13/2026, , , , , ,, , , ,Ref: 1,Ref: 1, ,Ref: 1
Al-Nasser,Mahmoud,V40WS,2/14/2026,Ref: 1, , , , ,, ,Ref: 1,Ref: 1,Ref: 1  Video: 1, , ,Video: 1
Al-Nasser,Mahmoud,V50MS,2/14/2026,Ref: 1, , , , ,, ,Ref: 1,Ref: 1,Video: 1,Ref: 1, , 
Al-Nasser,Mahmoud,V70WS,2/14/2026,Ref: 1, , , , ,, , ,Ref: 1, ,Video: 1, ,Ref: 1
Al-Nasser,Mahmoud,U20MS,2/15/2026,Ref: 2, , ,Ref: 4,Ref: 6,,Ref: 1,Ref: 1, ,Ref: 1, , , 
Al-Nasser,Mahmoud,Y10MS,3/6/2026,Ref: 1, , , ,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,Video: 1, , , 
Al-Nasser,Mahmoud,Y14WS,3/6/2026,Ref: 2, , ,Ref: 3,Ref: 3,,Ref: 1,Ref: 1,Ref: 1, , , , 
Al-Nasser,Mahmoud,DV2WS,3/7/2026,Ref: 1, , , , ,, , , , , , , 
Al-Nasser,Mahmoud,Y12MS,3/7/2026,Ref: 2, , ,Ref: 3,Ref: 2  Video: 1,,Ref: 2,Ref: 1, , , , , 
Al-Nasser,Mahmoud,Y12MF,3/8/2026,Ref: 1, , ,Ref: 3,Ref: 2,, , , , , , , 
Al-Nasser,Mahmoud,Y14MS,3/8/2026,Ref: 2, , ,Ref: 6,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Al-Nasser,Mahmoud,Y10WS,3/9/2026,Ref: 1, , , ,Ref: 1,,Ref: 3,Ref: 2,Ref: 1,Video: 1,Ref: 1, , 
Al-Nasser,Mahmoud,Y14WF,3/9/2026, , , ,Ref: 3,Ref: 4,,Ref: 1, , , , , , 
Al-Nasser,Mahmoud,DV1WS,4/24/2026,Ref: 2, , , ,Ref: 4,,Ref: 1,Ref: 1,Ref: 1, , , , 
Al-Nasser,Mahmoud,V40WS,4/24/2026, , , , , ,, , , , , , , 
Al-Nasser,Mahmoud,V80WS,4/24/2026,Ref: 1, , , , ,, , , , , , ,Video: 1
Al-Nasser,Mahmoud,DV1MS,4/25/2026,Ref: 2, , , ,Ref: 2,,Ref: 2,Ref: 1, , , , , 
Al-Nasser,Mahmoud,U19WS,4/25/2026,Ref: 2, , ,Ref: 2,Ref: 3,,Ref: 1,Ref: 1,Ref: 1, , , , 
Al-Nasser,Mahmoud,U19MF,4/26/2026,Ref: 1, , , ,Ref: 3,, , , , , , , 
Al-Nasser,Mahmoud,V60MS,4/26/2026, , , , , ,, , ,Ref: 1, , , , 
Al-Nasser,Mahmoud,V70MS,4/26/2026, , , , , ,, , , ,Video: 1,Ref: 1, , 
Al-Nasser,Mahmoud,V80MS,4/26/2026,Ref: 1, , , , ,, , , , ,Ref: 1  Video: 1, , 
Al-Nasser,Mahmoud,U19MS,4/27/2026,Ref: 1, , , , ,, , , , , , , 
Al-Nasser,Mahmoud,VETMS,4/27/2026,Ref: 1, , , , ,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,Ref: 1, , 
Alperstein,Donald,U17WE,1/9/2026,Ref: 1, , , , ,, ,Ref: 1, ,Video: 1, , , 
Alperstein,Donald,U17ME,1/10/2026,Ref: 2, , ,Ref: 4,Ref: 1,, ,Ref: 1,Video: 1, , , , 
