,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Strnatko,Justin,7/8/2021,VTMWS,,,,,,,,,Ref: 2,,Ref: 1
Strnatko,Justin,7/8/2021,Y14WS,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Assist: 1,Assist: 1,,Ref: 1
Strnatko,Justin,7/9/2021,Y12WS,Ref: 1,,,,,,Ref: 1,,,,Ref: 1
Strzalkowski,Thomas,7/4/2021,DV1MS,Ref: 1,,,,Ref: 1,Ref: 1,Ref: 1,,,,
Strzalkowski,Thomas,7/4/2021,U17WS,Ref: 2,,,,,,,,,,
Strzalkowski,Thomas,7/6/2021,JTMWS,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Strzalkowski,Thomas,7/6/2021,U20MS,Ref: 2,,Ref: 3,,,,,,,,
Strzalkowski,Thomas,7/6/2021,V80MS,,,,,,,,,,,Video: 1
Strzalkowski,Thomas,7/7/2021,STMWS,,,,,,,,Ref: 1,Ref: 1,Ref: 1,
Strzalkowski,Thomas,7/9/2021,Y12WS,Ref: 1,,,,,Ref: 1,Ref: 1,,,,
Strzalkowski,Thomas,7/10/2021,D1AMS,Ref: 1,,,,Ref: 2,Ref: 1,,Video: 1,Video: 1,,
Strzalkowski,Thomas,7/10/2021,Y10MS,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,Video: 1,Video: 1,,Video: 1
Stusinski,Tomasz,7/3/2021,U17ME,Ref: 1,,Ref: 2,Ref: 1,,,,,,,
Stusinski,Tomasz,7/3/2021,U17MF,Ref: 1,,Ref: 1,Ref: 1,Ref: 2,Ref: 1,,,,,
Stusinski,Tomasz,7/4/2021,DV1MF,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Stusinski,Tomasz,7/4/2021,U17WF,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,,,
Stusinski,Tomasz,7/5/2021,U20WS,Ref: 2,,Ref: 3,Ref: 4,Ref: 2,Ref: 1,Assist: 1,,,,
Stusinski,Tomasz,7/5/2021,V40WS,,,,,,,,Ref: 1  Assist: 1,Ref: 1,,
Stusinski,Tomasz,7/6/2021,U20MF,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,,,
Stusinski,Tomasz,7/7/2021,V60ME,Ref: 1,,,,Ref: 1,Ref: 1,,,,,
Stusinski,Tomasz,7/7/2021,Y14MF,Ref: 1,,Ref: 1,,Ref: 1,,,,,,
Stusinski,Tomasz,7/8/2021,VTMMS,,,,,,,,Ref: 1,Ref: 1,,Ref: 1
Stusinski,Tomasz,7/8/2021,Y14WS,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,
Stusinski,Tomasz,7/9/2021,Y12WS,,,,,Ref: 2,Ref: 1,Ref: 1,,,,
Stusinski,Tomasz,7/10/2021,D1AMS,Ref: 1,,,,Ref: 2,Ref: 1,,,,,
Stusinski,Tomasz,7/10/2021,Y10MS,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,,
Stusinski,Tomasz,7/11/2021,DV2MS,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,
Stusinski,Tomasz,7/11/2021,DV2WS,Ref: 1,,,Ref: 1,Ref: 1,,,Video: 1,,,
Stusinski,Tomasz,7/12/2021,DV3MS,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Stusinski,Tomasz,7/12/2021,DV3WS,Ref: 1,,,,Ref: 2,Ref: 1,,Assist: 1,,,
Stusinski,Tomasz,7/22/2021,U19ME,Ref: 1,,,,,,,,,,
Stusinski,Tomasz,7/22/2021,U19WS,Ref: 1,,,Ref: 1,,Ref: 1,,Assist: 1,,,
Stusinski,Tomasz,7/23/2021,U19MS,Ref: 2,,,,Ref: 2,Ref: 1,Video: 1,,,,
Stusinski,Tomasz,7/24/2021,U16ME,Ref: 1,,,Ref: 1,,,,,,,
Stusinski,Tomasz,7/24/2021,U16WS,Ref: 1,,,,Ref: 2,,Assist: 1,,,,
Stusinski,Tomasz,7/25/2021,U16MS,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Video: 1  Assist: 1,Assist: 1,,,
Swords,Evan,7/7/2021,Y14MS,Ref: 1,,,Ref: 3,Ref: 1,,,Ref: 1  Assist: 1,Assist: 1,,Assist: 1
Swords,Evan,7/8/2021,VTMWS,,,,,,,,Ref: 1,,,
Swords,Evan,7/8/2021,Y14WS,Ref: 1,,,Ref: 2,,,,Ref: 1,,,
Swords,Evan,7/9/2021,Y12MS,Ref: 1,,,,,,,,,,
Swords,Evan,7/9/2021,Y12WS,Ref: 1,,,,Ref: 2,Ref: 1,,Assist: 1,,,
Swords,Evan,7/10/2021,D1AMS,Ref: 1,,,,,Ref: 1,,,,,
Swords,Evan,7/10/2021,Y10MS,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,,Ref: 1,,,
Taggersell,Cara,6/4/2021,U20MF,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,Video: 1,Video: 1,Assist: 1,,
Taggersell,Cara,6/5/2021,DV1MF,Ref: 1,,Ref: 1,,Ref: 1,,Ref: 1  Video: 1,Video: 1,Assist: 1,,Ref: 1
Taggersell,Cara,6/5/2021,U17WF,,,,Ref: 1,Ref: 1,,,,,,
Taggersell,Cara,6/6/2021,DV1WF,Ref: 1,,,Ref: 2,Ref: 1,,Video: 2,Ref: 1,Video: 1,,
Taggersell,Cara,6/7/2021,U20WF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Video: 1  Assist: 1,,,,
Tamulonis,Fen,7/3/2021,U17ME,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,,,,,
Tamulonis,Fen,7/3/2021,U17MF,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,,,,,,
