Last Name,First Name,Event,Date,Member #,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Lendes-panegue,Juan,U19WF,6/29/2024,100210572,Ref: 1,, ,Ref: 2,Ref: 1,, , , , , , , 
Lendes-panegue,Juan,U19MF,6/30/2024,100210572,Ref: 1,, ,Ref: 2,Ref: 1,,Ref: 1, , , , , , 
Lendes-panegue,Juan,U19WE,6/30/2024,100210572,Ref: 1,, ,Ref: 2, ,,Ref: 1, , , , , , 
Lendes-panegue,Juan,STMMF,7/1/2024,100210572, ,, , , ,,Ref: 2,Ref: 1, , , , , 
Lendes-panegue,Juan,U19WS,7/1/2024,100210572,Ref: 2,, ,Ref: 5,Ref: 3,,Ref: 1,Ref: 2,Ref: 1, , , , 
Lendes-panegue,Juan,D1AMS,7/2/2024,100210572,Ref: 1,, , , ,,Ref: 2,Ref: 1,Ref: 1, , , , 
Lendes-panegue,Juan,U16WS,7/2/2024,100210572,Ref: 2,, ,Ref: 5,Ref: 8,,Ref: 2,Ref: 2,Ref: 1,Ref: 1, , , 
Lendes-panegue,Juan,V40WF,7/3/2024,100210572,Ref: 1,, , , ,, , ,Ref: 2, , , , 
Lendes-panegue,Juan,V50WF,7/3/2024,100210572, ,, , , ,, , , , , , , 
Lendes-panegue,Juan,V60MF,7/4/2024,100210572,Ref: 1,, , , ,,Ref: 1,Ref: 4,Ref: 1,Ref: 1,Video: 1, ,Ref: 1
Lerouge,Frédéric,U19WF,6/29/2024,100662229,Ref: 1,, ,Ref: 1, ,, ,Ref: 1, , ,Ref: 1, , 
Lerouge,Frédéric,STMMF,7/1/2024,100662229, ,, , , ,,Ref: 2, ,Ref: 1,Ref: 1, , ,Ref: 1
Lerouge,Frédéric,U16MF,7/2/2024,100662229,Ref: 1,, ,Ref: 2,Ref: 2,, ,Ref: 1,Ref: 1, , , , 
Lerouge,Frédéric,U16WF,7/2/2024,100662229,Ref: 1,, ,Ref: 2, ,,Ref: 1,Ref: 1,Video: 1, , , , 
Lerouge,Frédéric,DV1MF,7/3/2024,100662229,Ref: 1,, ,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Video: 1,Ref: 1,Video: 1, , 
Lerouge,Frédéric,Y14MF,7/5/2024,100662229, ,, ,Ref: 4,Ref: 1,,Ref: 1, , , , , , 
Lerouge,Frédéric,Y14WF,7/5/2024,100662229,Ref: 1,, ,Ref: 1,Ref: 1,,Ref: 1,Ref: 1, ,Video: 1, , , 
