Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128 ,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Lehr,William,7/4/2025,Y14ME,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,,Ref: 1,,,
Lehr,William,7/5/2025,Y12WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,Ref: 1,,,,
Lehr,William,7/6/2025,Y10ME,Ref: 1,,,Ref: 1,Ref: 2,,,Ref: 2,,Ref: 1,,,
Lehr,William,7/7/2025,DV3WE,Ref: 1,,,,Ref: 1,,,Ref: 1,,,Ref: 1,,
Leleiko,Olga,6/29/2025,STMWF,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,
Leleiko,Olga,6/29/2025,U19MF,Ref: 1,,,,,,,,,,,,
Leleiko,Olga,6/30/2025,U19WF,Ref: 1,,,,,,,,,,,,
Leleiko,Olga,7/1/2025,D1AWF,Ref: 1,,,,,,,,,,,,
Leleiko,Olga,7/1/2025,DV1MF,Ref: 1,,,,,,,,,,,,
Leleiko,Olga,7/2/2025,U16MF,Ref: 1,,,,,,,,,,,,
Leleiko,Olga,7/2/2025,V50WF,Ref: 1,,,,,,,,Ref: 1,Ref: 1  Video: 1,,,Ref: 1
Leleiko,Olga,7/2/2025,V70WF,,,,,,,,,,Ref: 1  Video: 1,,,Video: 1
Leleiko,Olga,7/3/2025,VTMWF,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Leleiko,Olga,7/4/2025,DV2MF,Ref: 1,,,Ref: 2,,,,Ref: 1,,,,,
Leleiko,Olga,7/4/2025,DV2WF,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 1,,,,
Leleiko,Olga,7/5/2025,Y14MF,Ref: 1,,,Ref: 2,,,,,,Video: 1,,,
Leleiko,Olga,7/6/2025,Y10WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 2,Ref: 1,,,Video: 1,,
Leleiko,Olga,7/7/2025,Y12WF,Ref: 2,,,Ref: 2,Ref: 1,,Ref: 2,,,,,,
Lendes-Panegue,Juan,10/4/2024,U20WF,Ref: 1,,,,,,,,,,,,
Lendes-Panegue,Juan,10/5/2024,DV1MF,Ref: 1,,,Ref: 4,Ref: 1,,,,,,,,
Lendes-Panegue,Juan,10/5/2024,DV2MS,Ref: 2,,,Ref: 4,Ref: 3,,Ref: 1,Ref: 1,,,,,
Lendes-Panegue,Juan,10/6/2024,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Lendes-Panegue,Juan,10/6/2024,DV2MF,Ref: 1,,,Ref: 3,Ref: 2,,,Ref: 1,,,,,
Lendes-Panegue,Juan,10/7/2024,DV2WF,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Lendes-Panegue,Juan,10/7/2024,U20MF,Ref: 1,,,Ref: 2,Ref: 2,,,Ref: 1,,,,,
Lendes-Panegue,Juan,11/8/2024,U20MS,Ref: 2,,,Ref: 3,Ref: 3,,Ref: 2,Ref: 1,Video: 1,,,,
Lendes-Panegue,Juan,11/8/2024,Y14MF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,,Ref: 1,,
Lendes-Panegue,Juan,11/9/2024,U17MF,Ref: 1,,,Ref: 3,Ref: 2,,,,Video: 1,Video: 1,Ref: 1,,
Lendes-Panegue,Juan,11/10/2024,U17WF,Ref: 1,,,Ref: 3,Ref: 3,,Ref: 1,Ref: 1,,,,,
Lendes-Panegue,Juan,11/11/2024,Y14MS,Ref: 2,,,,Ref: 7,,Ref: 4,Ref: 3,Ref: 2,Ref: 1,Video: 1,,Video: 1
Lendes-Panegue,Juan,12/6/2024,U20WF,Ref: 1,,,,,,,,,,,,
Lendes-Panegue,Juan,12/7/2024,U17MF,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Lendes-Panegue,Juan,12/7/2024,U17WF,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Lendes-Panegue,Juan,12/8/2024,U17ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Lendes-Panegue,Juan,12/8/2024,U17WS,Ref: 2,,,,Ref: 3,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,,,
Lendes-Panegue,Juan,1/3/2025,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Lendes-Panegue,Juan,1/3/2025,V50MF,Ref: 1,,,,,,Ref: 1,Ref: 4,Ref: 1,Video: 2,,,Ref: 1
Lendes-Panegue,Juan,1/4/2025,DV1MF,Ref: 1,,,,Ref: 2,,,,,,,,
Lendes-Panegue,Juan,1/4/2025,V40MS,Ref: 1,,,,,,,Ref: 2,Ref: 2,Ref: 1,Video: 1,,Ref: 1
Lendes-Panegue,Juan,1/5/2025,U17MS,Ref: 2,,,,Ref: 3,,Ref: 3,,Ref: 1,,,,
Lendes-Panegue,Juan,1/5/2025,V50WF,,,,,,,,Ref: 1,Ref: 1,Video: 1,Ref: 1,,
Lendes-Panegue,Juan,1/6/2025,VTMMS,,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,
Lendes-Panegue,Juan,2/14/2025,DV1MF,Ref: 1,Ref: 1,,,Ref: 2,,Ref: 2,Ref: 1,,Video: 1,,,
Lendes-Panegue,Juan,2/15/2025,U20MF,Ref: 1,,,Ref: 2,,,,,Ref: 1,Ref: 1,,,
Lendes-Panegue,Juan,2/15/2025,U20WF,,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,,,,,
Lendes-Panegue,Juan,2/16/2025,U17MF,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,,Video: 1,Video: 1,,,Ref: 1
